set,algorithm,id,size,time
"Alpha, A, C and AC",Improved,50,200,17.68e-06
"Alpha, A, C and AC",Generated,51,300,326.11e-06
"Alpha, A, C and AC",Generated,52,300,65.79e-06
"Alpha, A, C and AC",Generated,53,300,91.15e-06
"Alpha, A, C and AC",Generated,54,300,304.58e-06
"Alpha, A, C and AC",Generated,55,300,1691.73e-06
"Alpha, A, C and AC",Improved,51,300,16.85e-06
"Alpha, A, C and AC",Improved,52,300,22.20e-06
"Alpha, A, C and AC",Improved,53,300,26.93e-06
"Alpha, A, C and AC",Improved,54,300,44.07e-06
"Alpha, A, C and AC",Improved,55,300,31.05e-06
"Alpha, A, C and AC",Generated,56,300,125.29e-06
"Alpha, A, C and AC",Generated,57,300,1408.16e-06
"Alpha, A, C and AC",Generated,58,300,46.96e-06
"Alpha, A, C and AC",Generated,59,300,100.66e-06
"Alpha, A, C and AC",Generated,60,300,124.02e-06
"Alpha, A, C and AC",Improved,56,300,5.72e-06
"Alpha, A, C and AC",Improved,57,300,37.49e-06
"Alpha, A, C and AC",Improved,58,300,19.90e-06
"Alpha, A, C and AC",Improved,59,300,8.58e-06
"Alpha, A, C and AC",Improved,60,300,6.21e-06
"Alpha, A, C and AC",Generated,61,300,128.99e-06
"Alpha, A, C and AC",Generated,62,300,418.94e-06
"Alpha, A, C and AC",Generated,63,300,95.82e-06
"Alpha, A, C and AC",Generated,64,300,2476.09e-06
"Alpha, A, C and AC",Generated,65,300,60.91e-06
"Alpha, A, C and AC",Improved,61,300,9.84e-06
"Alpha, A, C and AC",Improved,62,300,20.47e-06
"Alpha, A, C and AC",Improved,63,300,52.79e-06
"Alpha, A, C and AC",Improved,64,300,37.15e-06
"Alpha, A, C and AC",Improved,65,300,20.31e-06
"Alpha, A, C and AC",Generated,66,300,1067.12e-06
"Alpha, A, C and AC",Generated,67,300,1064.21e-06
"Alpha, A, C and AC",Generated,68,300,91.41e-06
"Alpha, A, C and AC",Generated,69,300,230.41e-06
"Alpha, A, C and AC",Generated,70,300,51.81e-06
"Alpha, A, C and AC",Improved,66,300,25.25e-06
"Alpha, A, C and AC",Improved,67,300,35.23e-06
"Alpha, A, C and AC",Improved,68,300,20.65e-06
"Alpha, A, C and AC",Improved,69,300,22.02e-06
"Alpha, A, C and AC",Improved,70,300,15.32e-06
"Alpha, A, C and AC",Generated,71,300,298.90e-06
"Alpha, A, C and AC",Generated,72,300,159.72e-06
"Alpha, A, C and AC",Generated,73,300,53.09e-06
"Alpha, A, C and AC",Generated,74,300,69.06e-06
"Alpha, A, C and AC",Generated,75,300,572.67e-06
"Alpha, A, C and AC",Improved,71,300,21.02e-06
"Alpha, A, C and AC",Improved,72,300,7.32e-06
"Alpha, A, C and AC",Improved,73,300,12.21e-06
"Alpha, A, C and AC",Improved,74,300,28.25e-06
"Alpha, A, C and AC",Improved,75,300,27.62e-06
"Alpha, A, C and AC",Generated,76,400,429.99e-06
"Alpha, A, C and AC",Generated,77,400,95.20e-06
"Alpha, A, C and AC",Generated,78,400,1092.34e-06
"Alpha, A, C and AC",Generated,79,400,441.36e-06
"Alpha, A, C and AC",Generated,80,400,791.85e-06
"Alpha, A, C and AC",Improved,76,400,9.32e-06
"Alpha, A, C and AC",Improved,77,400,21.27e-06
"Alpha, A, C and AC",Improved,78,400,33.89e-06
"Alpha, A, C and AC",Improved,79,400,6.15e-06
"Alpha, A, C and AC",Improved,80,400,34.34e-06
"Alpha, A, C and AC",Generated,81,400,91.56e-06
"Alpha, A, C and AC",Generated,82,400,117.94e-06
"Alpha, A, C and AC",Generated,83,400,2025.70e-06
"Alpha, A, C and AC",Generated,84,400,246.97e-06
"Alpha, A, C and AC",Generated,85,400,200.59e-06
"Alpha, A, C and AC",Improved,81,400,19.29e-06
"Alpha, A, C and AC",Improved,82,400,15.79e-06
"Alpha, A, C and AC",Improved,83,400,42.06e-06
"Alpha, A, C and AC",Improved,84,400,7.29e-06
"Alpha, A, C and AC",Improved,85,400,38.63e-06
"Alpha, A, C and AC",Generated,86,400,306.35e-06
"Alpha, A, C and AC",Generated,87,400,147.69e-06
"Alpha, A, C and AC",Generated,88,400,98.66e-06
"Alpha, A, C and AC",Generated,89,400,273.43e-06
"Alpha, A, C and AC",Generated,90,400,593.91e-06
"Alpha, A, C and AC",Improved,86,400,14.56e-06
"Alpha, A, C and AC",Improved,87,400,29.68e-06
"Alpha, A, C and AC",Improved,88,400,34.48e-06
"Alpha, A, C and AC",Improved,89,400,13.37e-06
"Alpha, A, C and AC",Improved,90,400,22.69e-06
"Alpha, A, C and AC",Generated,91,400,223.69e-06
"Alpha, A, C and AC",Generated,92,400,115.02e-06
"Alpha, A, C and AC",Generated,93,400,950.76e-06
"Alpha, A, C and AC",Generated,94,400,136.54e-06
"Alpha, A, C and AC",Generated,95,400,102.44e-06
"Alpha, A, C and AC",Improved,91,400,27.77e-06
"Alpha, A, C and AC",Improved,92,400,17.29e-06
"Alpha, A, C and AC",Improved,93,400,38.81e-06
"Alpha, A, C and AC",Improved,94,400,23.05e-06
"Alpha, A, C and AC",Improved,95,400,38.48e-06
"Alpha, A, C and AC",Generated,96,400,509.66e-06
"Alpha, A, C and AC",Generated,97,400,105.04e-06
"Alpha, A, C and AC",Generated,98,400,4931.65e-06
"Alpha, A, C and AC",Generated,99,400,72.77e-06
"Alpha, A, C and AC",Generated,100,400,299.05e-06
"Alpha, A, C and AC",Improved,96,400,7.72e-06
"Alpha, A, C and AC",Improved,97,400,16.18e-06
"Alpha, A, C and AC",Improved,98,400,64.60e-06
"Alpha, A, C and AC",Improved,99,400,30.52e-06
"Alpha, A, C and AC",Improved,100,400,23.33e-06
"Alpha, A, C and AC",Generated,101,500,112.02e-06
"Alpha, A, C and AC",Generated,102,500,535.23e-06
"Alpha, A, C and AC",Generated,103,500,86.85e-06
"Alpha, A, C and AC",Generated,104,500,9678.84e-06
"Alpha, A, C and AC",Generated,105,500,178.32e-06
"Alpha, A, C and AC",Improved,101,500,52.90e-06
"Alpha, A, C and AC",Improved,102,500,16.11e-06
"Alpha, A, C and AC",Improved,103,500,41.95e-06
"Alpha, A, C and AC",Improved,104,500,91.23e-06
"Alpha, A, C and AC",Improved,105,500,28.28e-06
"Alpha, A, C and AC",Generated,106,500,384.15e-06
"Alpha, A, C and AC",Generated,107,500,3051.95e-06
"Alpha, A, C and AC",Generated,108,500,365.35e-06
"Alpha, A, C and AC",Generated,109,500,1547.70e-06
"Alpha, A, C and AC",Generated,110,500,818.99e-06
"Alpha, A, C and AC",Improved,106,500,42.41e-06
"Alpha, A, C and AC",Improved,107,500,45.06e-06
"Alpha, A, C and AC",Improved,108,500,52.55e-06
"Alpha, A, C and AC",Improved,109,500,58.99e-06
"Alpha, A, C and AC",Improved,110,500,11.90e-06
"Alpha, A, C and AC",Generated,111,500,692.75e-06
"Alpha, A, C and AC",Generated,112,500,220.12e-06
"Alpha, A, C and AC",Generated,113,500,629.30e-06
"Alpha, A, C and AC",Generated,114,500,10912.10e-06
"Alpha, A, C and AC",Generated,115,500,590.70e-06
"Alpha, A, C and AC",Improved,111,500,12.30e-06
"Alpha, A, C and AC",Improved,112,500,46.96e-06
"Alpha, A, C and AC",Improved,113,500,10.12e-06
"Alpha, A, C and AC",Improved,114,500,107.86e-06
"Alpha, A, C and AC",Improved,115,500,27.13e-06
"Alpha, A, C and AC",Generated,116,500,100.15e-06
"Alpha, A, C and AC",Generated,117,500,844.97e-06
"Alpha, A, C and AC",Generated,118,500,3316.77e-06
"Alpha, A, C and AC",Generated,119,500,134.96e-06
"Alpha, A, C and AC",Generated,120,500,445.81e-06
"Alpha, A, C and AC",Improved,116,500,54.00e-06
"Alpha, A, C and AC",Improved,117,500,10.44e-06
"Alpha, A, C and AC",Improved,118,500,53.13e-06
"Alpha, A, C and AC",Improved,119,500,39.58e-06
"Alpha, A, C and AC",Improved,120,500,62.19e-06
"Alpha, A, C and AC",Generated,121,500,945.46e-06
"Alpha, A, C and AC",Generated,122,500,7177.97e-06
"Alpha, A, C and AC",Generated,123,500,447.77e-06
"Alpha, A, C and AC",Generated,124,500,192.75e-06
"Alpha, A, C and AC",Generated,125,500,2132.29e-06
"Alpha, A, C and AC",Improved,121,500,7.16e-06
"Alpha, A, C and AC",Improved,122,500,75.66e-06
"Alpha, A, C and AC",Improved,123,500,19.47e-06
"Alpha, A, C and AC",Improved,124,500,24.47e-06
"Alpha, A, C and AC",Improved,125,500,52.80e-06
"Alpha, A, C and AC",Generated,126,600,1914.75e-06
"Alpha, A, C and AC",Generated,127,600,145.31e-06
"Alpha, A, C and AC",Generated,128,600,204.66e-06
"Alpha, A, C and AC",Generated,129,600,195.84e-06
